businessCategory,carLicense,cn,departmentNumber,description,destinationIndicator,displayName,distinguishedName,employeeNumber,employeeType,facsimileTelephoneNumber,givenName,homePhone,homePostalAddress,initials,internationaliSDNNumber,l,mail,manager,mobile,o,ou,pager,physicalDeliveryOfficeName,postOfficeBox,postalAddress,postalCode,preferredDeliveryMethod,preferredLanguage,registeredAddress,roomNumber,secretary,seeAlso,sn,st,street,telephoneNumber,teletexTerminalIdentifier,telexNumber,title,uid,objectClass,memberOf,objectSid,objectguid,sAMAccountName,primaryGroupID,primaryGroupDN,accountFlags,department,msNPCallingStationID,msRADIUSFramedRoute,msNPAllowDialin,msRADIUSCallbackNumber,msRADIUSFramedIPAddress,mailNickname,homeMDB,msExchHideFromAddressLists,msRTCSIP-UserEnabled,SipAddress,RegistrarPool,LyncPinSet,LyncPinLockedOut,pwdLastSet,msDS-PrincipalName,userPrincipalName,lastLogonTimestamp
,,Tempie.Persinger,CSIN,,,Tempie M Persinger,"CN=Tempie.Persinger,OU=Usa,OU=NA,DC=abc,DC=local",550530,,,Tempie,,,,,,tpersinger@abccorp.com,,,,,,,,,,,,,,,,Persinger,"Austin, TX",,,,,Sr Mgr Consumer Insights,,top,,S-1-5-21-1622704856-2119577735-116698500-1208,{d8f967a9-cd85-4fc5-b04f-bdf22434e5c8},Tempie.Persinger,513,,Normal User Account,Consumer Strategy&Insight,,,Not Set,,,,,,,,,,,0,ABC\Tempie.Persinger,,
,,Tequila.Cocke,,,,Tequila L Cocke,"CN=Tequila.Cocke,OU=Usa,OU=NA,DC=abc,DC=local",154790,,,Tequila,,,,,,tcocke@abccorp.com,,,,,,,,,,,,,,,,Cocke,"Washington, DC",,,,,Team Lead - Northfield DC,,top,"CN=All AD Users,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1177,{b5df40b2-ebeb-451d-85d6-dbd7b4014258},Tequila.Cocke,513,,Normal User Account,SMTW 5AM-3PM,,,Not Set,,,,,,,,,,,0,ABC\Tequila.Cocke,,
,,Terese.Ducan,,,,Terese  Ducan,"CN=Terese.Ducan,OU=Usa,OU=NA,DC=abc,DC=local",121820,,,Terese,,,,,,tducan@abccorp.com,,,,,,,,,,,,,,,,Ducan,"Oklahoma City, OK",,,,,"VP,Arch & Bus Integration",,top,,S-1-5-21-1622704856-2119577735-116698500-1148,{0b69a348-209e-4417-9add-2717d53215db},Terese.Ducan,513,,Normal User Account,Information Systems,,,Not Set,,,,,,,,,,,0,ABC\Terese.Ducan,,
,,Titus.Chittenden,MAINJ,,,Titus E Chittenden,"CN=Titus.Chittenden,OU=Usa,OU=NA,DC=abc,DC=local",586935,,,Titus,,,,,,tchittenden@abccorp.com,,,,,,,,,,,,,,,,Chittenden,"Los Angeles, CA",,,,,Maint Team Lead III,,top,,S-1-5-21-1622704856-2119577735-116698500-1170,{926b376c-ecd2-44e8-aa99-45a9913979cd},Titus.Chittenden,513,,Normal User Account,Maintenance J,,,Not Set,,,,,,,,,,,0,ABC\Titus.Chittenden,,
,,Tyra.Paiz,,,,Tyra E Paiz,"CN=Tyra.Paiz,OU=Usa,OU=NA,DC=abc,DC=local",544125,,,Tyra,,,,,,tpaiz@abccorp.com,,,,,,,,,,,,,,,,Paiz,"Oklahoma City, OK",,,,,Sr Mgr IT Project Mgmt,,top,"CN=IT Team Access,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1146,{806583da-96da-4e78-9b53-501bdef499a8},Tyra.Paiz,513,,Normal User Account,Information Systems,,,Not Set,,,,,,,,,,,0,ABC\Tyra.Paiz,,
,,Vannesa.Kirkendall,K,,,Vannesa L Kirkendall,"CN=Vannesa.Kirkendall,OU=Usa,OU=NA,DC=abc,DC=local",768045,,,Vannesa,,,,,,vkirkendall@abccorp.com,,,,,,,,,,,,,,,,Kirkendall,"Los Angeles, CA",,,,,Ph 6 Proc Team Member,,top,"CN=All AD Users,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1211,{fae507f0-0e6a-4d07-8ceb-0d8b0878c3c0},Vannesa.Kirkendall,513,,Normal User Account,K Shift,,,Not Set,,,,,,,,,,,0,ABC\Vannesa.Kirkendall,,
,,Vern.Woodfin,,,,"Vern, Woodfin (Contractor)","CN=Vern.Woodfin,OU=Usa,OU=NA,DC=abc,DC=local",15433046,,,Vern,,,,,,,,,,,,,,,,,,,,,,Woodfin,,,,,,Contractor ? Swift,,top,,S-1-5-21-1622704856-2119577735-116698500-1249,{aef5e37c-3b92-43b7-89f0-e934fec8a1d1},Vern.Woodfin,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Vern.Woodfin,,
,,Violet.Ginn,,,,"Violet, Ginn (Contractor)","CN=Violet.Ginn,OU=Usa,OU=NA,DC=abc,DC=local",15430961,,,Violet,,,,,,,,,,,,,,,,,,,,,,Ginn,,,,,,Niagara Falls,,top,,S-1-5-21-1622704856-2119577735-116698500-1222,{e74f9637-d697-44dd-8b3b-200e50b0fa28},Violet.Ginn,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Violet.Ginn,,
,,Virgil.Gremillion,K,,,Virgil D Gremillion,"CN=Virgil.Gremillion,OU=Usa,OU=NA,DC=abc,DC=local",905191,,,Virgil,,,,,,vgremillion@abccorp.com,,,,,,,,,,,,,,,,Gremillion,"Chicago, IL",,,,,Operator - TR,,top,,S-1-5-21-1622704856-2119577735-116698500-1153,{df5fef4b-c218-496a-9988-5589cb0ca9d4},Virgil.Gremillion,513,,Normal User Account,K Shift,,,Not Set,,,,,,,,,,,0,ABC\Virgil.Gremillion,,
,,Yoshie.Dixon,,,,"Yoshie, Dixon (Contractor)","CN=Yoshie.Dixon,OU=Usa,OU=NA,DC=abc,DC=local",15430849,,,Yoshie,,,,,,,,,,,,,,,,,,,,,,Dixon,,,,,,Battle Creek,,top,,S-1-5-21-1622704856-2119577735-116698500-1236,{6bfc6494-f1e4-45e3-a502-3280603532eb},Yoshie.Dixon,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Yoshie.Dixon,,
,,Zana.Mcbeath,,,,Zana  Mcbeath,"CN=Zana.Mcbeath,OU=Usa,OU=NA,DC=abc,DC=local",566661,,,Zana,,,,,,zmcbeath@abccorp.com,,,,,,,,,,,,,,,,Mcbeath,"Phoenix, AZ",,,,,R&D Project Leader,,top,,S-1-5-21-1622704856-2119577735-116698500-1120,{0ab22a0d-f9ba-4be5-a60b-241608bf2f3e},Zana.Mcbeath,513,,Normal User Account,R&D,,,Not Set,,,,,,,,,,,0,ABC\Zana.Mcbeath,,
,,Lila.Bober,I,,,Lila D Bober,"CN=Lila.Bober,OU=Usa,OU=NA,DC=abc,DC=local",710750,,,Lila,,,,,,lbober@abccorp.com,,,,,,,,,,,,,,,,Bober,"Albuquerque, NM",,,,,Ph 9 Proc Team Member,,top,"CN=All AD Users,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1182,{0643d9e3-50b0-470a-a62f-3aadf981dce8},Lila.Bober,513,,Normal User Account,I Shift,,,Not Set,,,,,,,,,,,0,ABC\Lila.Bober,,
,,Calandra.Bolte,HMRS,,,Calandra D. Bolte,"CN=Calandra.Bolte,OU=EMEA,DC=abc,DC=local",992521,,,Calandra,,,,,,cbolte@abccorp.com,,,,,,,,,,,,,,,,Bolte,"Minneapolis, MN",,,,,HR Coordinator,,top,"CN=HR team Access,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1176,{33476bc6-7486-4a6a-9a87-a4719bb543c0},Calandra.Bolte,513,,Normal User Account,Human Resources,,,Not Set,,,,,,,,,,,0,ABC\Calandra.Bolte,,
,,Naomi.Bucholz,K,,,Naomi S Bucholz,"CN=Naomi.Bucholz,OU=Usa,OU=NA,DC=abc,DC=local",729019,,,Naomi,,,,,,nbucholz@abccorp.com,,,,,,,,,,,,,,,,Bucholz,"Denver, CO",,,,,Ph 9 Pkg Team Member,,top,"CN=All AD Users,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1184,{7d85611f-3a3a-496e-b6e0-a793b83fab92},Naomi.Bucholz,513,,Normal User Account,K Shift,,,Not Set,,,,,,,,,,,0,ABC\Naomi.Bucholz,,
,,Lanny.Epley,X,,,Lanny W Epley,"CN=Lanny.Epley,OU=EMEA,DC=abc,DC=local",650012,,,Lanny,,,,,,lepley@abccorp.com,,,,,,,,,,,,,,,,Epley,"Los Angeles, CA",,,,,Operations Supervisor,,top,"CN=All AD Users,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1134,{48359cf2-cde6-472a-a8ee-e927b2b62275},Lanny.Epley,513,,Normal User Account,X Shift,,,Not Set,,,,,,,,,,,0,ABC\Lanny.Epley,,
,,September.Hipsher,,,,September  Hipsher,"CN=September.Hipsher,OU=Usa,OU=NA,DC=abc,DC=local",503408,,,September,,,,,,shipsher@abccorp.com,,,,,,,,,,,,,,,,Hipsher,"Austin, TX",,,,,Team Lead,,top,"CN=All AD Users,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1200,{6dafd685-a73b-40f4-b0a3-f04f88e61566},September.Hipsher,513,,Normal User Account,WNA-Production,,,Not Set,,,,,,,,,,,0,ABC\September.Hipsher,,
,,Reatha.Immel,K,,,Reatha A Immel,"CN=Reatha.Immel,OU=Usa,OU=NA,DC=abc,DC=local",200038,,,Reatha,,,,,,rimmel@abccorp.com,,,,,,,,,,,,,,,,Immel,"Denver, CO",,,,,Ph 8 Proc Team Member,,top,"CN=All AD Users,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1127,{d0fd4bc9-09fb-4aa8-abf0-43731ec469a5},Reatha.Immel,513,,Normal User Account,K Shift,,,Not Set,,,,,,,,,,,0,ABC\Reatha.Immel,,
,,Delores.Marcotte,,,,Delores D Marcotte,"CN=Delores.Marcotte,OU=Usa,OU=NA,DC=abc,DC=local",996008,,,Delores,,,,,,dmarcotte@abccorp.com,,,,,,,,,,,,,,,,Marcotte,"Los Angeles, CA",,,,,Sr. Network Engineer,,top,"CN=All AD Users,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1161,{9cda3bf9-bf9b-411f-b780-935ec7998cdb},Delores.Marcotte,513,,Normal User Account,INFORMATION TECHNOLOGY,,,Not Set,,,,,,,,,,,0,ABC\Delores.Marcotte,,
,,Vicenta.Milbrandt,MTJ,,,Vicenta N Milbrandt,"CN=Vicenta.Milbrandt,OU=Usa,OU=NA,DC=abc,DC=local",347433,,,Vicenta,,,,,,vmilbrandt@abccorp.com,,,,,,,,,,,,,,,,Milbrandt,"Nashville, TN",,,,,Maintenance Technician II,,top,"CN=All AD Users,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1196,{33b978dc-43ee-4d85-a6bb-77211fbe046a},Vicenta.Milbrandt,513,,Normal User Account,Maintenance J,,,Not Set,,,,,,,,,,,0,ABC\Vicenta.Milbrandt,,
,,Gertrude.Nigh,CSIN,,,Gertrude T Nigh,"CN=Gertrude.Nigh,OU=Usa,OU=NA,DC=abc,DC=local",486539,,,Gertrude,,,,,,gnigh@abccorp.com,,,,,,,,,,,,,,,,Nigh,"Atlanta, GA",,,,,Analytics Manager,,top,"CN=All AD Users,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1149,{de694f37-625c-49f2-b7fe-824c1cbf3de9},Gertrude.Nigh,513,,Normal User Account,Consumer Strategy&Insight,,,Not Set,,,,,,,,,,,0,ABC\Gertrude.Nigh,,
,,Monica.Pfeiffer,,,,Monica E Pfeiffer,"CN=Monica.Pfeiffer,OU=Usa,OU=NA,DC=abc,DC=local",167376,,,Monica,,,,,,mpfeiffer@abccorp.com,,,,,,,,,,,,,,,,Pfeiffer,"Orlando, FL",,,,,Class A MECH MW,,top,"CN=All AD Users,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1150,{65048afb-f3a6-4903-bd6e-10594889ddf6},Monica.Pfeiffer,513,,Normal User Account,Battle Creek,,,Not Set,,,,,,,,,,,0,ABC\Monica.Pfeiffer,,
,,Echo.Platt,SLPF,,,Echo H Platt,"CN=Echo.Platt,OU=Usa,OU=NA,DC=abc,DC=local",182583,,,Echo,,,,,,eplatt@abccorp.com,,,,,,,,,,,,,,,,Platt,"Washington, DC",,,,,Regional Sales Mgr FS,,top,"CN=All AD Users,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1183,{c3aa461b-fe47-4c21-9ae5-2d48a4254d38},Echo.Platt,513,,Normal User Account,PRIVATE LABEL FS MILITARY,,,Not Set,,,,,,,,,,,1.32545E+17,ABC\Echo.Platt,,
,,Leonore.Prall,J,,,Leonore J Prall,"CN=Leonore.Prall,OU=Usa,OU=NA,DC=abc,DC=local",170086,,,Leonore,,,,,,lprall@abccorp.com,,,,,,,,,,,,,,,,Prall,"Portland, OR",,,,,Specialist - TR,,top,"CN=All AD Users,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1180,{2eca4ed2-1bb0-459b-90a2-54111b698f9d},Leonore.Prall,513,,Normal User Account,J Shift,,,Not Set,,,,,,,,,,,0,ABC\Leonore.Prall,,
,,Marion.Ripple,X,,,Marion H Ripple,"CN=Marion.Ripple,OU=Usa,OU=NA,DC=abc,DC=local",240228,,,Marion,,,,,,mripple@abccorp.com,,,,,,,,,,,,,,,,Ripple,"Phoenix, AZ",,,,,Plant Engr Tech Excel Mgr,,top,"CN=All AD Users,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1137,{8dd1477d-2f02-497d-a04d-02b6d9b60e11},Marion.Ripple,513,,Normal User Account,X Shift,,,Not Set,,,,,,,,,,,0,ABC\Marion.Ripple,,
,,Toby.Schooley,J,,,Toby D Schooley,"CN=Toby.Schooley,OU=Usa,OU=NA,DC=abc,DC=local",,,,Toby,,,,,,tschooley@abccorp.com,,,,,,,,,,,,,,,,Schooley,"Phoenix, AZ",,,,,Operator - TR,,top,"CN=All AD Users,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1173,{f3da7ea9-6cfe-49e0-ba3f-f29fe5232819},Toby.Schooley,513,,Normal User Account,J Shift,,,Not Set,,,,,,,,,,,0,ABC\Toby.Schooley,,
,,Clare.Smathers,FIN,,,Clare  Smathers,"CN=Clare.Smathers,OU=Usa,OU=NA,DC=abc,DC=local",806145,,,Clare,,,,,,csmathers@abccorp.com,,,,,,,,,,,,,,,,Smathers,"Los Angeles, CA",,,,,Senior Financial Analyst,,top,"CN=All AD Users,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1164,{f93fe0dd-8a0c-433e-84cf-92c7772d18de},Clare.Smathers,513,,Normal User Account,Finance,,,Not Set,,,,,,,,,,,0,ABC\Clare.Smathers,,
,,Merrill.Trim,,,,Merrill Edward Trim,"CN=Merrill.Trim,OU=Usa,OU=NA,DC=abc,DC=local",707218,,,Merrill,,,,,,mtrim@abccorp.com,,,,,,,,,,,,,,,,Trim,"Washington, DC",,,,,Transporter II Lead,,top,"CN=All AD Users,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1162,{45ee647c-01c2-4790-bdc7-7a6af96dab8a},Merrill.Trim,513,,Normal User Account,WNA ï¿½ Sterling Warehouse,,,Not Set,,,,,,,,,,,0,ABC\Merrill.Trim,,
,,Annis.Tripodi,,,,"Annis, Tripodi","CN=Annis.Tripodi,OU=Usa,OU=NA,DC=abc,DC=local",669193,,,Annis,,,,,,atripodi@abccorp.com,,,,,,,,,,,,,,,,Tripodi,"Charlotte, NC",,,,,Cdn. Maintenance Manager,,top,"CN=HR team Access,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1141,{93cf87c7-4976-4d8e-9364-517dd73a4a64},Annis.Tripodi,513,,Normal User Account,Niagara Falls,,,Not Set,,,,,,,,,,,1.32727E+17,ABC\Annis.Tripodi,,1.32727E+17
,,Yu.Voll,CSIN,,,Yu J Voll,"CN=Yu.Voll,OU=Usa,OU=NA,DC=abc,DC=local",940199,,,Yu,,,,,,yvoll@abccorp.com,,,,,,,,,,,,,,,,Voll,"Chicago, IL",,,,,Graphics Project Manager,,top,"CN=All AD Users,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1205,{b893da0e-9a44-49ab-a5d5-744dbedf58ca},Yu.Voll,513,,Normal User Account,Consumer Strategy&Insight,,,Not Set,,,,,,,,,,,1.32554E+17,ABC\Yu.Voll,,
,,Yetta.Yeh,K,,,Yetta A Yeh,"CN=Yetta.Yeh,OU=Usa,OU=NA,DC=abc,DC=local",338220,,,Yetta,,,,,,yyeh@abccorp.com,,,,,,,,,,,,,,,,Yeh,"Denver, CO",,,,,Operator - TR,,top,"CN=All AD Users,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1179,{a48be1cf-1abd-4bfe-b4e6-66a1bf681a2b},Yetta.Yeh,513,,Normal User Account,K Shift,,,Not Set,,,,,,,,,,,1.32556E+17,ABC\Yetta.Yeh,,
